Brand,Dealer Name Thai,Location,Dealer Name Eng,Location,Tel,Map,Latitude,Longitude
HONDA,บริษัท ราชพฤกษ์ ฮอนด้า ออโตโมบิล จำกัด,222 หมู่ที่ 2 ถนนราชพฤกษ์ ตำบลบางรักน้อย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,"Ratchaphruek Honda Automobile Co., Ltd.","222 Moo 2 Ratchaphruek Road, Bangrak noi, Mueang Nonthaburi, Nonthaburi 11000",0 2195 7000,https://goo.gl/maps/s2vgmoqEqRx,13.86394393,100.4512709
HONDA,บริษัท รามอินทรา ฮอนด้า ออโตโมบิล จำกัด,9/9 ถนนคู้บอน แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510,"Ramintra Honda Automobile Co., Ltd.","9/9 Kubon Road, Bangchan, Khlong samwa, Bangkok 10510",0 2181 1555,https://goo.gl/maps/Y7rTkrKLmf12,13.85688089,100.6763167
HONDA,บริษัท รามอินทรา ฮอนด้าคาร์ส์ จำกัด,88 ถนนรามอินทรา แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230,"Ramintra Honda Cars Co., Ltd.","88 Ramintra Road, Ramintra, Khannayao, Bangkok 10230",0 2510 4545,https://goo.gl/maps/BhEA5EJU9vE2,13.84438263,100.6650299
HONDA,บริษัท วอง ฮอนด้า คาร์ส์ จำกัด (สาขา บางบัว - ศรีปทุม),"อาคาร 1-5, เลขที่ 2629 ถนนพหลโยธิน แขวงลาดยาว เขตจตุจักร จังหวัดกรุงเทพมหานคร 10900","Wong Honda Cars Co., Ltd. (Sripatum Branch)","Building 1-5, 2629 Phahonyothin Rd., Ladyao , Jatujak , Bangkok Province 10900",0 2502 9999,https://goo.gl/maps/jBa1bLayBkePyUXw8,13.85665445,100.583791
HONDA,บริษัท วอง ฮอนด้า คาร์ส์ จำกัด (สาขา พญาไท),999 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,"Wong Honda Cars Co., Ltd. (Phayathai Branch)","999 Phahonyothin Road, Samsennai, Phayathai, Bangkok 10400",0 2502 9999,https://goo.gl/maps/iwT3yTQqwLm,13.77136821,100.5412027
HONDA,บริษัท วอง ฮอนด้า คาร์ส์ จำกัด (สาขา รังสิต),เลขที่ 6 ถนนพหลโยธิน ตำบลประชาธิปัตย์ อำเภอธัญบุรี จังหวัดปทุมธานี 12130,"Wong Honda Cars Co., Ltd. (Rangsit Branch)","6, Prachathipat, Thanyaburi, Pathumthani 12130",0 2502 9999,https://goo.gl/maps/t96z1DJXe352,13.97069428,100.6193333
HONDA,บริษัท วอง ฮอนด้า คาร์ส์ จำกัด (สาขา สายไหม ถนนสุขาภิบาล 5),1 ถนนสุขาภิบาล 5 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220,"Wong Honda Cars Co., Ltd. (Saimai Sukhaphiban 5 Road Branch)","1 Sukhaphiban 5 Road, O Ngoen, Sai Mai, Bangkok 10220",0 2502 9999,https://goo.gl/maps/CmroBM2tXAz,13.90613496,100.6699262
HONDA,บริษัท วี.กรุ๊ป ฮอนด้าคาร์ส์ จำกัด (สาขา บางกอกน้อย),665/5 ถนนจรัญสนิทวงศ์ แขวงอรุณอัมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,"V.Group Honda Cars Co., Ltd. (Bangkoknoi Branch)","665/5 Charansanitwong Road, Arunamarin, Bangkoknoi, Bangkok 10700",0 2434 5555,https://goo.gl/maps/psiLkSbGP55XGk8C7,13.76827619,100.4764547
HONDA,บริษัท วี.กรุ๊ป ฮอนด้าคาร์ส์ จำกัด (สาขา ปากเกร็ด - เมืองทอง),345 หมู่ที่ 3 ถนนติวานนท์ ตำบลบ้านใหม่ อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,"V.Group Honda Cars Co., Ltd. (Pakkred-Muang Thong Branch)","345 Moo 3, Banmai, Pakkred, Nonthaburi 11120",0 2582 3333,https://goo.gl/maps/Cs2tajsWs8P2,13.9360154,100.5371288
HONDA,บริษัท วี.กรุ๊ป ฮอนด้าคาร์ส์ จำกัด (สาขา หนองแขม),1052 ถ.เพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,"V.Group Honda Cars Co., Ltd. (Nong Kham Branch)","1052 Petchakasem Road, Khwaeng Bang Khae Nuea, Bangkhae, Bangkok 10160",0 2421 6666,https://goo.gl/maps/pxoSB2vqXVM2,13.70858523,100.374544
HONDA,บริษัท วี.กรุ๊ป ฮอนด้าคาร์ส์ จำกัด (สาขา แจ้งวัฒนะ),34/39 หมู่ที่ 1 ถนนแจ้งวัฒนะ ตำบลคลองเกลือ อำเภอปากเกร็ด จังหวัดนนทบุรี 11000,"V.Group Honda Cars Co., Ltd. (Chaeng Watthana)","34/39 Moo 1 Chaeng Watthana Rd, Khlong Kluea, Pak Kret District, Nonthaburi 11120",0 2575 6666,https://goo.gl/maps/9Coge5GKCKP2,13.89877943,100.5504831
HONDA,บริษัท สมุทรปราการ ฮอนด้าคาร์ส์ (1996) จำกัด,40/49 หมู่ที่ 5 ถนนศรีนครินทร์ ตำบลบางเมือง อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10270,"Samutprakarn Honda Cars (1996) Co., Ltd.","40/49 Moo 5 Sri Nakharin Road , Bangmueang, Mueang Samutprakarn, Samutprakarn 10270",0 2385 6161,https://goo.gl/maps/LZvSCsYG9RU2,13.60931368,100.617344
HONDA,บริษัท สมุทรปราการ ฮอนด้าคาร์ส์ (1996) จำกัด สาขา นครรังสิต,801/9 ถนนพหลโยธิน ตำบลประชาธิปัตย์ อำเภอธัญบุรี จังหวัดปทุมธานี 12130,"Samutprakarn Honda Cars (1996) Co., Ltd. Nakorn Rangsit Branch","801/9 Phaholyothin Road, Prachathipat Subdistrict, Thanyaburi District, Pathum Thani 12130",0 2958 4891,https://maps.app.goo.gl/CqhxxoxHP58BVjCd8,13.99921074,100.6141648
HONDA,บริษัท สมุทรสาคร ฮอนด้าคาร์ส์ จำกัด,99/9 หมู่ที่ 8 ถนนพระราม 2 กม.28 ตำบลท่าทราย อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,"Samutsakhon Honda Cars Co., Ltd.","99/9 Moo 8 Rama 2 Road km.28, Thasai, Mueang Samutsakhon, Samutsakhon 74000",0 3483 7307,https://goo.gl/maps/rm2XjQ68jrB2,13.56333548,100.2782935
HONDA,บริษัท สยาม ไอ.บี. ฮอนด้า ออโตโมบิล ฉลองกรุง จำกัด,666/6 ถนนฉลองกรุง แขวงลำปลาทิว เขตลาดกระบัง กทม. 10520,"Siam I.B. Honda Automobiles Chalongkrung Co., Ltd.","666/6 Thanon Chalong Krung, Lam Pla Thio, Lat Krabang, Bangkok 10520",0 2360 5050,https://goo.gl/maps/cRYAUKRLwC42,13.75998269,100.7961067
HONDA,บริษัท สยาม ไอ.บี. ฮอนด้า ออโตโมบิล หนองจอก จำกัด,88/8 ถนนสุวินทวงศ์ แขวงลำผักชี เขตหนองจอก กรุงเทพมหานคร 10530,"Siam I.B. Honda Automobiles Nongchok Co., Ltd.","88/8 Suwinthawong Road, Lam Phak Chi Subdistrict, Nong Chok District, Bangkok 10530",0 2919 9888,https://maps.app.goo.gl/UttBucBD2LBo8Ah37,13.8085773,100.8262829
HONDA,บริษัท สาครบุรี ฮอนด้า ออโตโมบิล จำกัด,55/5 หมู่ที่ 1 ถนนพระราม 2 กม.16 ตำบลบางน้ำจืด อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,"Sakhonburi Honda Automobile Co., Ltd.","55/5 Moo 1 Rama 2 Road KM.16, Bangnamchuet, Mueang Samutsakhon, Samutsakhon 74000",0 3444 1888,https://goo.gl/maps/qL2kiZUZxto,13.60197369,100.3684195
HONDA,บริษัท สาธร ฮอนด้า คาร์ส์ จำกัด (สาขา แยกสาทร-นราธิวาส),8 ซอยนราธิวาสราชนครินทร์ 12 แขวงทุ่งวัดดอน เขตสาทร จังหวัดกรุงเทพมหานคร 10120,"Sathon Honda Cars Co., Ltd. (Sathorn-Naradhiwas Intersection Branch)","8 Soi Naradhiwas Rajanagarindra 12, Thung Wat Don, Sathon, Bangkok 10120",0 2637 9080,https://goo.gl/maps/1cPJugJHRZts8ZoT6,13.71462639,100.5333096
HONDA,บริษัท สาธร ฮอนด้าคาร์ส์ จำกัด,101ถนนสุรศักดิ์ แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,"Sathon Honda Cars Co., Ltd.","101 Surasak Road, Silom, Bangrak, Bangkok 10500",0 2637 9080,https://goo.gl/maps/ngJDHbuoXgv,13.71943691,100.5203227
HONDA,บริษัท สุขาภิบาล 3 ฮอนด้า ออโตโมบิล จำกัด,99 ถนนรามคำแหง แขวงราษฏร์พัฒนา เขตสะพานสูง กรุงเทพมหานคร 10240,"Sukhaphiban 3 Honda Automobile Co., Ltd.","99 Ramkhamhaeng Road, Ratphatthana, Saphansung, Bangkok 10240",0 2373 9999,https://goo.gl/maps/SHQgDugZ49T2,13.78739589,100.6910833
HONDA,บริษัท อ่อนนุช ฮอนด้า ออโตโมบิล จำกัด,222 ถนนอ่อนนุช แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,"On Nut Honda Automobile Co., Ltd.","222 On Nut Road, Prawet, Prawet, Bangkok 10250",0 2320 3999,https://goo.gl/maps/C7VsmML2uEt,13.71940444,100.6774544
HONDA,บริษัท ฮอนด้า บ้านใหม่ ปทุมธานี จำกัด,199/99 หมู่ที่ 1 ถนนติวานนท์ ตำบลบ้านใหม่ อำเภอเมืองปทุมธานี จังหวัดปทุมธานี 12000,"Honda Banmai Pathum Thani Co., Ltd.","199/99 Moo 1 Tiwanon Road, Banmai, Mueang Pathumthani, Pathumthani 12000",0 2501 3111,https://goo.gl/maps/fMvfe11qFZ92,13.95894429,100.5507949
HONDA,บริษัท ฮอนด้า พรีเมียร์ แพรกษา จำกัด,995 หมู่ที่ 2  ตำบลแพรกษาใหม่  อำเภอเมืองสมุทรปราการ  จังหวัดสมุทรปราการ 10280,"Honda Premier Phraeksa Co., Ltd.","995 Moo 2, Prakasa Road Phraek Sa Mai, Mueang Samut Prakan District, Samut Prakan 10540",0 2136 2155,https://goo.gl/maps/J4sQDt3tkfL2,13.56209404,100.6929678
HONDA,บริษัท ฮอนด้า ออโตโมบิล (ประเทศไทย) จำกัด (สาขา ศรีอยุธยา),350 ถนนศรีอยุธยา แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,"Honda Automobile (Thailand) Co., Ltd. (Si Ayutthaya Branch)","350 Si Ayutthaya Road, Thungphayathai, Ratchathewi, Bangkok 10400",0 2247 2211,https://goo.gl/maps/mGk5K5Rm2iM2,13.75719681,100.5364928
HONDA,บริษัท ฮอนด้า เฟิร์ส จำกัด (สาขา รังสิตคลอง 2),848 ถนนเลียบคลองรังสิต ตำบลประชาธิปัตย์ อำเภอธัญบุรี จังหวัดปทุมธานี 12130,"Honda First Co., Ltd. (Rangsit Khlong 2 Branch)","848 Liap Khlong Rangsit Road, Prachathipat, Thanyaburi, Pathumthani 12130",0 2150 5777,https://goo.gl/maps/GAEtLCDSFfR2,13.98931779,100.6418644
HONDA,บริษัท ฮอนด้า เฟิร์ส จำกัด (สาขา รามคำแหง),911 ถนนรามคำแหง แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,"Honda First Co., Ltd. (Ramkhamhaeng Branch)","911 Ramkhamhaeng Road, Suanluang, Suanluang, Bangkok 10250",0 2318 5111,https://goo.gl/maps/MeZme2gN7dK2,13.74583454,100.603036
